conformer_id,energy_in_kcalpermol
0,-121.21926221791487
1,-121.23441809043645
2,-121.21936567385661
3,-121.23442069966107
4,-121.23443692886823
5,-121.21935225839039
6,-121.2344215572017
7,-121.23442315123633
8,-121.21934105940935
9,-121.23442773361342
