conformer_id,energy_in_kcalpermol,rel_energy_in_kcalpermol,rel_energy_in_kJpermol
0,4.156085347645018,1.2785894119549681,5.349618099619587
1,4.156085347935985,1.2785894122459354,5.349618100836993
2,4.156085348106092,1.2785894124160428,5.349618101548724
3,2.8774959362121475,5.220979204523246e-10,2.1844576991725264e-09
4,4.156085348707457,1.2785894130174071,5.349618104064832
5,4.15608534791359,1.2785894122235408,5.349618100743295
6,2.8774959357133802,2.333067072868289e-11,9.761552632880921e-11
7,2.8774959364348565,7.448068828352916e-10,3.11627199778286e-09
8,2.8774959359401233,2.5007373949392786e-10,1.0463085260425942e-09
9,2.8774959359199155,2.298659040889106e-10,9.61758942708002e-10
10,2.8774959368416635,1.1516139153400218e-09,4.818352621782651e-09
11,4.156085347760653,1.2785894120706036,5.349618100103406
12,2.8774959389105845,3.220534949832654e-09,1.3474718230099825e-08
13,2.877495940955221,5.2651714099738456e-09,2.202947717933057e-08
14,2.877495935915686,2.2563639845429861e-10,9.440626911327855e-10
15,4.156085347822696,1.2785894121326464,5.349618100362993
16,4.15608534759499,1.2785894119049406,5.3496180994102716
17,2.8774959356912895,1.2398970739013748e-12,5.187729357203353e-12
18,4.1560853501887784,1.2785894144987289,5.349618110262682
19,2.8774959356963414,6.291855925155687e-12,2.6325125190851397e-11
20,2.8774959357691134,7.906386656486575e-11,3.308032177073983e-10
21,4.156085348495967,1.2785894128059176,5.349618103179959
22,4.156085347644112,1.2785894119540622,5.349618099615796
23,4.15608534783984,1.27858941214979,5.349618100434721
24,4.1560853477484745,1.278589412058425,5.34961810005245
25,4.156085350940103,1.2785894152500532,5.349618113406223
26,2.877495935871881,1.8183143879468844e-10,7.607827399169764e-10
27,4.1560853485160205,1.278589412825971,5.349618103263863
28,2.8774959361734957,4.834461719838146e-10,2.0227387835802804e-09
29,2.8774959361472767,4.5722714503426687e-10,1.9130383748233727e-09
30,2.877495935804415,1.1436540603426693e-10,4.785048588473728e-10
31,2.877495936437496,7.474465490986404e-10,3.1273163614287116e-09
32,4.156085348249999,1.278589412559949,5.349618102150827
33,4.156085348039634,1.278589412349584,5.34961810127066
34,4.156085347956621,1.2785894122665713,5.349618100923334
35,4.156085350452965,1.2785894147629158,5.34961811136804
36,4.156085348011818,1.278589412321768,5.349618101154277
37,4.156085349872614,1.278589414182564,5.349618108939848
38,2.8774959372277795,1.5377299433794178e-09,6.433862083099485e-09
39,4.156085348642414,1.278589412952364,5.349618103792691
