conformer_id,energy_in_kcalpermol,rel_energy_in_kcalpermol,rel_energy_in_kJpermol
0,9.481410289917443,0.6520155149080971,2.7280329143754782
1,18.038048561391975,9.208653786382628,38.529007442224916
2,9.48141028889518,0.6520155138858339,2.728032910098329
3,8.829394779538292,4.5289461070296966e-09,1.8949110511812252e-08
4,9.481410290036841,0.6520155150274949,2.7280329148750386
5,9.481410289510249,0.6520155145009028,2.7280329126717775
6,18.47787552417907,9.648480749169723,40.36924345452612
7,8.829394776723003,1.7136567720399398e-09,7.169939934215108e-09
8,18.038048555834216,9.20865378082487,38.529007418971254
9,9.481410289788435,0.6520155147790891,2.728032913835709
10,8.829394777374935,2.3655886138840287e-09,9.897622760490776e-09
11,8.829394776610302,1.600955812364191e-09,6.698399118931775e-09
12,9.481410290395134,0.6520155153857878,2.7280329163741364
13,8.829394776739843,1.7304966348774542e-09,7.240397920327269e-09
14,9.48141028984043,0.6520155148310831,2.728032914053252
15,9.481410290687673,0.6520155156783272,2.728032917598121
16,8.829394776572313,1.5629666449967772e-09,6.539452442666516e-09
17,8.829394776619257,1.6099104271916076e-09,6.735865227369687e-09
18,8.829394778813255,3.80390829946009e-09,1.5915552324941017e-08
19,9.481410290523584,0.652015515514238,2.728032916911572
20,9.481410290227139,0.6520155152177924,2.7280329156712435
21,9.481410292420147,0.6520155174108009,2.728032924846791
22,9.481410290808718,0.6520155157993717,2.7280329181045713
23,9.481410291571493,0.6520155165621464,2.7280329212960206
24,18.03804855327173,9.208653778262383,38.52900740824981
25,8.8293947767374,1.7280541442232789e-09,7.230178539430199e-09
26,18.038048551352706,9.20865377634336,38.529007400220614
27,9.4814102960564,0.6520155210470531,2.7280329400608703
28,8.829394778769725,3.760378675110587e-09,1.5733424376662696e-08
29,8.82939477654385,1.534504079359067e-09,6.420365068038336e-09
30,8.829394777757066,2.74772027353265e-09,1.1496461624460608e-08
31,8.829394776551842,1.5424959087795287e-09,6.453802882333548e-09
32,8.829394778984955,3.975609175199679e-09,1.663394878903546e-08
33,8.829394777760752,2.7514062139744055e-09,1.1511883599268913e-08
34,8.829394778736102,3.726755792854419e-09,1.5592746237302892e-08
35,8.829394777566302,2.5569555361926177e-09,1.0698301963429913e-08
36,9.481410291153956,0.6520155161446102,2.728032919549049
37,9.481410293973775,0.6520155189644292,2.728032931347172
38,18.477875544017806,9.64848076900846,40.369243537531396
39,9.481410290207116,0.6520155151977693,2.728032915587467
40,18.038048568011174,9.208653793001828,38.52900746991965
41,8.829394778684533,3.6751863774497906e-09,1.5376979803249926e-08
42,18.47787552295621,9.648480747946865,40.36924344940968
43,18.47787552292913,9.648480747919782,40.36924344929637
44,9.481410290654487,0.6520155156451413,2.728032917459271
45,8.829394777504191,2.494845219302988e-09,1.0438432397563703e-08
46,9.481410291526826,0.6520155165174799,2.728032921109136
47,9.481410289497209,0.6520155144878625,2.728032912617217
48,9.481410290556074,0.6520155155467275,2.728032917047508
49,18.038048550573308,9.208653775563961,38.529007396959614
50,8.829394775930304,9.209575324575781e-10,3.8532863158025065e-09
51,9.481410292357861,0.6520155173485147,2.7280329245861856
52,8.829394775541758,5.324114482618825e-10,2.2276094995277164e-09
53,18.477875523282062,9.648480748272716,40.36924345077305
54,9.481410294767544,0.6520155197581978,2.7280329346683
55,18.038048549056178,9.208653774046832,38.529007390611945
56,9.481410289483751,0.6520155144744049,2.72803291256091
57,18.47787553224996,9.648480757240614,40.369243488294735
58,18.477875525034875,9.648480750025529,40.369243458106816
59,8.829394776535844,1.52649803908389e-09,6.3868677955269964e-09
60,18.03804855755969,9.208653782550345,38.529007426190645
61,8.829394780742515,5.733168606525396e-09,2.398757744970226e-08
62,8.829394778067027,3.0576803311532785e-09,1.2793334505545318e-08
63,8.82939477951252,4.503172945646838e-09,1.8841275604586374e-08
64,8.829394778129934,3.120588232263799e-09,1.3056541163791735e-08
65,9.481410289720552,0.6520155147112057,2.7280329135516848
66,8.829394776725568,1.7162218313160338e-09,7.180672142226285e-09
67,9.481410297217408,0.6520155222080621,2.728032944918532
68,9.481410289598768,0.6520155145894222,2.7280329130421426
69,8.829394776955604,1.946258265661527e-09,8.143144583527828e-09
70,8.82939477812908,3.1197338046240475e-09,1.3052966238547016e-08
71,18.477875522004922,9.648480746995576,40.36924344542949
72,18.477875543115132,9.648480768105786,40.36924353375461
73,18.477875538989096,9.64848076397975,40.369243516491274
74,8.829394777802714,2.7933673152347183e-09,1.1687448846942061e-08
75,8.82939477949991,4.490564364800775e-09,1.8788521302326444e-08
76,18.477875534839793,9.648480759830447,40.36924349913059
77,18.477875525594726,9.64848075058538,40.36924346044923
78,18.47787552588656,9.648480750877214,40.369243461670266
79,8.829394779014189,4.004842679705689e-09,1.6756261771888603e-08
80,18.477875524002307,9.648480748992961,40.36924345378655
81,8.829394781386211,6.3768652580620255e-09,2.6680804239731516e-08
82,8.829394777380866,2.371519869370786e-09,9.92243913344737e-09
83,8.829394776850151,1.840804841890531e-09,7.701927458469981e-09
84,8.829394780550698,5.541352265936439e-09,2.3185017880678063e-08
85,9.481410289901403,0.6520155148920566,2.728032914308365
86,9.481410291227284,0.6520155162179382,2.7280329198558535
87,9.481410289127002,0.6520155141176556,2.728032911068271
88,8.829394783393182,8.383835847780574e-09,3.5077969187113924e-08
89,9.481410289691606,0.6520155146822599,2.728032913430576
90,9.48141029569556,0.6520155206862146,2.728032938551122
91,8.829394775765548,7.562022119600442e-10,3.163950054840825e-09
92,9.48141029071952,0.6520155157101737,2.7280329177313667
93,8.829394776778113,1.7687664666254932e-09,7.400518896361064e-09
94,18.477875523385322,9.648480748375976,40.36924345120509
95,8.8293947777351,2.7257538448566265e-09,1.1404554086880125e-08
96,8.829394778205884,3.196538145289196e-09,1.3374315599889997e-08
97,9.481410292695534,0.6520155176861877,2.7280329259990093
98,9.481410290556067,0.6520155155467204,2.7280329170474786
99,8.829394778943483,3.9341365720702015e-09,1.6460427417541725e-08
100,18.477875525561153,9.648480750551807,40.36924346030876
101,9.481410290825814,0.6520155158164673,2.7280329181760994
102,18.038048553978815,9.208653778969468,38.529007411208255
103,8.829394778163714,3.154367433921834e-09,1.3197873343528955e-08
104,8.829394776799658,1.7903118987305788e-09,7.490664984288741e-09
105,8.829394777540573,2.5312267837307445e-09,1.0590652863129436e-08
106,18.038048563823693,9.208653788814347,38.52900745239923
107,9.481410290441147,0.6520155154318008,2.728032916566655
108,9.481410294592035,0.6520155195826884,2.7280329339339686
109,9.481410289230524,0.6520155142211781,2.7280329115014093
110,8.829394776269496,1.260149318227377e-09,5.272464747463346e-09
111,9.48141029602144,0.6520155210120944,2.728032939914603
112,9.481410290319396,0.6520155153100493,2.7280329160572463
113,9.481410297615039,0.6520155226056925,2.7280329465822177
114,9.481410289866563,0.6520155148572169,2.7280329141625956
115,18.038048551012444,9.208653776003098,38.52900739879696
116,9.481410291747423,0.6520155167380768,2.7280329220321136
117,8.829394777615853,2.6065070102276877e-09,1.0905625330792645e-08
118,18.038048556674156,9.20865378166481,38.52900742248556
119,18.47787552047393,9.648480745464584,40.36924343902382
120,9.481410290175148,0.652015515165802,2.7280329154537157
121,8.829394777530066,2.520719633025692e-09,1.0546690944579495e-08
122,8.829394778740872,3.731525310968209e-09,1.5612701901090987e-08
123,9.481410292755289,0.6520155177459426,2.728032926249024
124,9.481410290729706,0.6520155157203593,2.7280329177739837
125,8.829394776034373,1.0250271742506811e-09,4.28871369706485e-09
126,18.03804855324379,9.208653778234444,38.52900740813291
127,8.829394781205488,6.196142265935123e-09,2.5924659240672556e-08
128,8.829394780027396,5.018049975547001e-09,2.099552109768865e-08
129,8.829394776017443,1.0080967172143573e-09,4.217876664824871e-09
130,9.481410292390938,0.6520155173815922,2.728032924724582
131,9.48141029106989,0.6520155160605441,2.7280329191973167
132,9.48141029161125,0.652015516601903,2.7280329214623626
133,18.47787552642817,9.648480751418825,40.369243463936364
134,9.481410291978671,0.6520155169693247,2.7280329229996547
135,8.829394776987689,1.978342822894774e-09,8.277386370991735e-09
136,18.038048552397385,9.208653777388038,38.52900740459155
137,18.477875520639174,9.648480745629827,40.3692434397152
138,18.0380485532626,9.208653778253252,38.529007408211605
139,8.82939477694299,1.9336443557449456e-09,8.090367984436853e-09
140,18.47787551954579,9.648480744536444,40.36924343514048
141,9.481410292961682,0.6520155179523357,2.7280329271125727
142,9.481410290803815,0.6520155157944689,2.728032918084058
143,8.82939477792992,2.9205740048610096e-09,1.2219681636338465e-08
144,9.48141029099429,0.6520155159849441,2.728032918881006
145,9.481410289380634,0.6520155143712874,2.7280329121294664
146,8.82939478059539,5.58604362765891e-09,2.337200653812488e-08
147,18.477875537706993,9.648480762697647,40.36924351112695
148,9.481410291615354,0.6520155166060082,2.7280329214795382
149,8.82939477554281,5.334630515108074e-10,2.232009407521218e-09
150,8.82939477630623,1.2968843776661743e-09,5.426164236155273e-09
151,8.82939477998844,4.9790944700589534e-09,2.0832531262726662e-08
152,9.481410292905386,0.6520155178960394,2.728032926877029
153,18.477875523053953,9.648480748044607,40.36924344981864
154,9.481410291882028,0.652015516872682,2.7280329225953017
155,9.481410290598586,0.6520155155892393,2.728032917225377
156,9.481410290067316,0.6520155150579701,2.728032915002547
157,9.481410289766796,0.6520155147574496,2.728032913745169
158,8.829394776883483,1.8741364016250373e-09,7.841386704399156e-09
159,8.829394778150368,3.14102166498742e-09,1.3142034646307366e-08
160,18.038048560131458,9.208653785122111,38.52900743695091
161,9.481410291267242,0.6520155162578956,2.7280329200230353
162,9.481410290445966,0.6520155154366201,2.7280329165868182
163,9.481410292501936,0.6520155174925897,2.7280329251889954
164,9.481410290436447,0.6520155154271006,2.7280329165469888
165,8.829394777997962,2.9886155772373968e-09,1.2504367575161269e-08
166,9.48141029113218,0.6520155161228338,2.7280329194579367
167,9.481410289598726,0.6520155145893796,2.728032913041964
168,8.829394776813338,1.8039916227508002e-09,7.547900949589348e-09
169,18.03804855332693,9.208653778317585,38.52900740848077
170,9.48141029115707,0.6520155161477241,2.728032919562078
171,8.829394778809121,3.799774717094806e-09,1.5898257416324668e-08
172,8.829394775872009,8.6266283005898e-10,3.6093812809667724e-09
173,9.481410290973432,0.6520155159640861,2.7280329187937364
174,9.481410295076271,0.6520155200669251,2.7280329359600146
175,9.481410292378493,0.6520155173691471,2.7280329246725117
176,18.03804854990843,9.208653774899085,38.529007394177775
177,18.47787553859169,9.648480763582343,40.369243514828526
178,9.481410293143036,0.6520155181336893,2.728032927871356
179,9.481410292349171,0.6520155173398248,2.728032924549827
180,18.477875533121598,9.648480758112251,40.36924349194166
181,9.481410292641575,0.6520155176322291,2.7280329257732467
182,18.038048549290792,9.208653774281446,38.529007391593574
183,8.829394777249888,2.240541974174448e-09,9.374427619945891e-09
