dlogp,euclidean_dlogp,mmff_energy,rmsd 
0.0,-6.027804265217761,8.8293948097873,0.058183881034137915
0.0,-6.0266251639253134,8.829394777107268,0.05548324871828466
0.0,-5.92771668703412,8.829394776301008,0.05256995758463117
0.0,-6.031326007297089,9.481410288706433,0.05469959786556197
0.0,-6.033774043720345,9.481410288752024,0.06220442500511908
0.0,-5.927584252512187,15.717922874976523,0.03504221515415458
0.0,-6.002795400828652,18.477875519665368,0.3357701200533005
0.0,-6.007971650921129,18.477875520536884,0.3355712874803273
0.0,-5.932787129693612,9.481410292171752,0.056225330987688164
0.0,-6.028773546971948,15.717922884849155,0.04088170913197619
0.0,-6.018564863172907,9.48141028870203,0.06163470652020404
0.0,-6.067256671454383,8.829394778314297,0.058490463788046475
0.0,-5.971521628471161,8.829394775107763,0.0576631223221532
0.0,-5.916592761272957,18.980392109769028,0.24776969122809547
0.0,-5.9977397505072645,9.481410296223634,0.059271878406727894
0.0,-5.951153721266214,8.829394784980753,0.08665246499982744
0.0,-6.042173178758311,8.82939477514685,0.07340381775123962
0.0,-5.989725377585071,18.477875520671965,0.33674487293834904
0.0,-6.052492136831938,18.477875521446215,0.33561737816987475
0.0,-6.002257720054084,8.829394798139836,0.057686032252259954
0.0,-5.958053091758424,9.481410290350661,0.06033371354548267
0.0,-6.079871688816594,8.829394779498053,0.06732979592961555
0.0,-5.992258100184358,8.829394775987932,0.05585627380425033
0.0,-5.928272253629619,8.829394775288524,0.063005975162427
0.0,-5.987393356611078,8.82939477669915,0.040480863422929454
0.0,-5.950503219191534,8.829394775070707,0.07935545724719133
0.0,-5.9196167320203115,8.82939478237311,0.07576534460063518
0.0,-6.002622077114085,8.829394775563348,0.08634469111798
0.0,-5.993563791134141,8.829394775303319,0.07119539096822979
0.0,-6.016825460224029,8.829394780250325,0.08073795789701832
0.0,-6.009163283990557,9.481410292652512,0.05883117204821205
0.0,-5.892591907332006,8.829394783615097,0.08704032370836977
0.0,-5.965421014396722,8.829394775245456,0.058493537956163896
0.0,-5.996570997949744,8.82939479502468,0.06288610733528546
0.0,-6.01938604378718,8.829394781112704,0.054097611974946155
0.0,-5.980716837337391,9.481410291254068,0.058237407857497606
0.0,-6.077019165358854,8.829394792537324,0.06830640223968434
0.0,-5.996797644895727,9.481410289042387,0.04802405200379189
0.0,-5.899654182075678,18.477875519016678,0.33597597120668693
0.0,-6.060023424994486,8.829394775320264,0.061037936467412755
0.0,-6.066589935319566,8.829394779264828,0.051812776512153075
0.0,-6.064203383869345,18.477875519942508,0.3395696580600249
0.0,-5.933201795711478,9.481410288850393,0.05705899215202353
